,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
2765340,2,2025-08-02 23:10:54,2025-08-02 23:25:10,,2.57,,,97,36,0,19.3,0.0,0.5,0.0,0.0,1.0,20.8,,,0.0
336519,2,2025-08-05 07:58:52,2025-08-05 08:04:55,1.0,0.88,1.0,N,229,237,1,7.9,0.0,0.5,1.26,0.0,1.0,13.91,2.5,0.0,0.75
2971948,2,2025-08-10 01:25:51,2025-08-10 01:47:44,,11.02,,,148,244,0,54.84,0.0,0.5,8.94,0.0,1.0,68.53,,,0.75
2327393,2,2025-08-27 19:41:09,2025-08-27 20:04:38,4.0,6.46,1.0,N,140,152,1,31.0,2.5,0.5,3.0,0.0,1.0,40.5,2.5,0.0,0.0
845708,2,2025-08-10 20:41:19,2025-08-10 20:46:06,1.0,0.9,1.0,N,163,230,1,6.5,1.0,0.5,2.45,0.0,1.0,14.7,2.5,0.0,0.75
894684,2,2025-08-11 14:07:01,2025-08-11 14:15:21,2.0,1.18,1.0,N,141,162,1,9.3,0.0,0.5,2.0,0.0,1.0,16.05,2.5,0.0,0.75
3317685,2,2025-08-22 23:59:04,2025-08-23 00:33:56,,11.79,,,181,7,0,3.66,0.0,0.5,0.0,0.0,1.0,5.16,,,0.0
2700441,1,2025-08-01 12:11:00,2025-08-01 12:22:12,,1.5,,,263,238,0,8.66,0.0,0.5,0.0,0.0,1.0,12.66,,,0.0
2698432,2,2025-08-01 10:51:41,2025-08-01 11:11:08,,2.33,,,148,170,0,17.0,0.0,0.5,0.0,0.0,1.0,21.75,,,0.75
2476820,2,2025-08-29 14:24:16,2025-08-29 14:31:32,2.0,1.06,1.0,N,186,249,1,8.6,0.0,0.5,3.0,0.0,1.0,16.35,2.5,0.0,0.75
568902,2,2025-08-07 15:22:27,2025-08-07 15:38:08,1.0,0.62,1.0,N,90,100,1,13.5,0.0,0.5,3.65,0.0,1.0,21.9,2.5,0.0,0.75
1312979,2,2025-08-15 22:05:23,2025-08-15 22:17:48,2.0,7.88,1.0,N,132,93,2,30.3,1.0,0.5,0.0,0.0,1.0,34.55,0.0,1.75,0.0
1178081,2,2025-08-14 14:07:31,2025-08-14 14:18:54,1.0,0.95,1.0,N,162,48,1,11.4,0.0,0.5,4.04,0.0,1.0,20.19,2.5,0.0,0.75
1964597,2,2025-08-23 14:20:32,2025-08-23 14:47:19,3.0,4.65,1.0,N,170,79,1,27.5,0.0,0.5,0.0,0.0,1.0,32.25,2.5,0.0,0.75
3052608,2,2025-08-13 17:39:13,2025-08-13 18:01:37,,0.0,,,239,161,0,20.23,0.0,0.5,0.0,0.0,1.0,24.98,,,0.75
